S. No,SCHOOL ID,ZONE,NAME OF SCHOOL,HoS Name,Contact Number,Shift,SchoolLevel,Gender,Phone,Latitude,Longitude,Boys,Girls,Total,Career tour already conducting,Daignosis,Metro station
46,2160032,Karol Bagh,NARAINA VILLAGE (BOYS)-2160032,SABDAR ALI,9868388532,Evening,Primary,Boys,,28.6254230135504,77.1370809303676,76,0,76,,,
47,2160081,Karol Bagh,BALJEET NAGAR (BOYS)-2160081,SUNITA HANDA,9868144388,Evening,Primary,Boys,,28.6560237816585,77.1615320067082,90,0,90,,,
48,2160031,Karol Bagh,NARAINA VILLAGE (GIRLS)-2160031,TANUJA SHARMA,9891751922,Morning,Primary,Girls,,28.6254965238759,77.1369005941847,0,111,111,Naraina Village(Girls),yes,
49,2160080,Karol Bagh,BALJEET NAGAR (GIRLS)-2160080,KAMLESH RANI,9717743684,Morning,Primary,Girls,,28.6559834793708,77.161432961143,0,123,123,,,
50,2160002,Karol Bagh,WEST PATEL NAGAR BLOCK-28 (CO-ED)-2160002,ANJU DEWAN,9818266891,General,Primary,Co-ed,,28.6541003536456,77.1658455965244,122,101,223,,,
51,1556153,Karol Bagh,RAMESH NAGAR NO 1 (BOYS)-1556153,RITA RANI,9871241190,General,Primary,Boys,,28.6435693270967,77.1305504603727,43,0,43,,,
52,2160038,Karol Bagh,JOSHI ROAD KAROL BAGH (CO-ED)-2160038,MAMTA SETHI,8588887978,General,Primary,Co-ed,,28.6502424833049,77.1988850099983,29,18,47,,,
53,2160001,Karol Bagh,EAST PATEL NAGAR (CO-ED)-2160001,MUNI LAL RAM,8076243066,General,Primary,Co-ed,,28.6481241218687,77.1707515245519,50,43,93,,,
54,2160029,Karol Bagh,NARAINA J J CAMP (GIRLS)-2160029,ANITA NUNIYAL,9868980749,Morning,Primary,Girls,,28.6336266633074,77.1427927722104,0,93,93,,,
55,2160017,Karol Bagh,SHADIPUR JJ (BOYS)-2160017,YOGESH KUMAR,9013261664,Evening,Primary,Boys,,28.651352906044,77.1539970291203,33,0,33,,yes,Shadipur
56,2160012,Karol Bagh,OLD RANJEET NAGAR (CO-ED)-2160012,VINAY TANWAR,9899969601,General,Primary,Co-ed,,28.6437060340694,77.1696135377825,19,10,29,,yes,Patel Nagar
57,2160037,Karol Bagh,PUSA LANE (CO-ED)-2160037,POONAM SABHARWAL,8130560304,General,Primary,Co-ed,,28.6454498320571,77.1940173660189,31,21,52,,,
58,1556149,Karol Bagh,MOTI NAGAR EAST (CO-ED)-1556149,SEEMA NARANG,9582422354,General,Primary,Co-ed,,28.6615062790082,77.1414366659651,33,20,53,,,
59,1556146,Karol Bagh,KARAM PURA H-I BLOCK (CO-ED)-1556146,MONA MAHAJAN,7011729784,General,Primary,Co-ed,,28.6666050192005,77.1413264068258,40,27,67,,,
60,2160052,Karol Bagh,PYARE LAL ROAD KAROL BAGH (CO-ED)-2160052,ANITA RANI,9810857394,General,Primary,Girls,,28.6493007914464,77.1824522342272,0,77,77,,,
61,2160020,Karol Bagh,NEW RAJINDER NAGAR R-BLOCK (CO-ED)-2160020,SURENDRA PAL SINGH,9289818270,General,Primary,Co-ed,,28.6347321327205,77.1805271195985,65,43,108,,,
62,2161407,Keshavpuram,KAMLA NAGAR E-BLOCK (CO-ED)-2161407,NEHA BANSAL,7503540800,General,Primary,Co-ed,,28.6831136364195,77.2039350390382,5,16,21,,,
63,1253110,Keshavpuram,SANGAM PARK (CO-ED)-1253110,MONIKA GUPTA,9999355342,General,Primary,Co-ed,,28.6894995634311,77.1874688549858,15,19,34,,,
64,1354055,Keshavpuram,PITAMPURA HU BLOCK (CO-ED)-1354055,SHIKHA GUPTA,9811825168,General,Primary,Co-ed,,28.7129795852647,77.1437873412952,41,41,82,,,
65,1354031,Keshavpuram,RANI BAGH (BOYS)-1354031,VIJAY KUMAR,9899056183,General,Primary,Boys,,28.6898747362045,77.129790855194,106,0,106,,yes,Madhuban chowk
66,1354002,Keshavpuram,TRI NAGAR JAI MATA MARKET (CO-ED)-1354002,SANGEETA SAINI,9136226669,General,Primary,Co-ed,,28.68120838644,77.1552167651924,34,41,75,,,
67,1354040,Keshavpuram,SHALIMAR BAGH BT-BLOCK (CO-ED)-1354040,SANTOSH BHARDWAJ,9868161152,General,Primary,Co-ed,,28.7036335446492,77.1626591693055,54,52,106,,,
68,1354030,Keshavpuram,PITAMPURA VILLAGE (CO-ED)-1354030,VIDYA NAND CHOUDHARY,9868389020,General,Primary,Co-ed,,28.7006421139649,77.123372484357,62,50,112,,,
69,1253127,Keshavpuram,AZAD PUR COLONY (CO-ED)-1253127,RESHMA,9868230287,General,Primary,Co-ed,,28.7087634029806,77.1821327741087,44,57,101,,,
70,1556092,Keshavpuram,JWALA HERI NEW (CO-ED)-1556092,ASHA RANI,9968240108,General,Primary,Co-ed,,28.6678241155943,77.1034137045423,110,59,169,,yes,Paschim Vihar (West)
71,1354046,Keshavpuram,SHALIMAR BAGH BB-BLOCK (CO-ED)-1354046,VANDANA KASTURIA,8377046399,General,Primary,Co-ed,,28.7143412958482,77.155071831727,76,63,139,,yes,JahangirPuri
72,1354149,Keshavpuram,ASHOK VIHAR PHASE III (CO-ED)-1354149,ROSE HEMLATA SORENG,9899348213,General,Primary,Co-ed,,28.700397814452,77.1748107982261,15,22,37,,,
73,1556392,Keshavpuram,MULTAN NAGAR NEW (CO-ED)-1556392,ALKA GARG,9211356842,General,Primary,Co-ed,,28.6804882823442,77.1091868911067,43,22,65,,,
74,1354054,Keshavpuram,UU BLOCK PITAMPURA (CO-ED)-1354054,MEENA JAIN,9205241609,General,Primary,Co-ed,,28.7037289321935,77.1484762321638,16,19,35,,,
75,2161406,Keshavpuram,KAMLA NAGAR DOUBLE STOREY (CO-ED)-2161406,DIVYA GOEL,9015344747,General,Primary,Co-ed,,28.6820829853032,77.2041285892591,9,10,19,,,
76,1253108,Keshavpuram,RANA PRATAP BAGH A-BLOCK (CO-ED)-1253108,NEERU KHATRI,9810076589,General,Primary,Co-ed,,28.6877307477307,77.1901464963063,31,27,58,,,
77,1354049,Keshavpuram,PITAMPURA GP-BLOCK (CO-ED)-1354049,DEEPA CHAUHAN,9968262086,General,Primary,Co-ed,,28.7018366254998,77.1445091772251,20,29,49,,,
78,1253125,Keshavpuram,STATE BANK COLONY GT KARNAL ROAD (CO-ED)-1253125,RITA ARORA,9953318443,General,Primary,Co-ed,,28.6955151055608,77.192195812411,22,20,42,,,
79,1354017,Keshavpuram,NEW SRI NAGAR (CO-ED)-1354017,ANITA RANI,9810887310,General,Primary,Co-ed,,28.6820821575633,77.1360995848982,45,36,81,,,
80,1354043,Keshavpuram,SHALIMAR BAGH AG-BLOCK (CO-ED)-1354043,NEERJA ANAND,9582290335,General,Primary,Co-ed,,28.7045763206301,77.1705753056543,29,33,62,,,
81,1354142,Keshavpuram,ASHOK VIHAR E-BLOCK (CO-ED)-1354142,SUMAN SINDHU,9968222796,General,Primary,Co-ed,,28.6915566732212,77.1632811021514,42,35,77,,,
82,1354029,Keshavpuram,HARSH VIHAR (CO-ED)-1354029,MEGHNATH CHOUDHARY,7011120480,General,Primary,Co-ed,,28.6980959981723,77.1285858817393,46,36,82,,,
83,1556091,Keshavpuram,PASCHIM VIHAR A 4 (CO-ED)-1556091,POONAM BHARDWAJ,9810600536,General,Primary,Co-ed,,28.6716765598133,77.1119015647622,51,41,92,,yes,Paschim Vihar (East)
84,1354011,Keshavpuram,SURAJ KUNJ KESHAV PURAM C-7 (CO-ED)-1354011,SUSHMA GAUR,9289600992,General,Primary,Co-ed,,28.6876388177729,77.161091396875,60,42,102,,,
85,1354034,Keshavpuram,SARASWATI VIHAR (CO-ED)-1354034,KANAK JHA,9891232501,General,Primary,Co-ed,,28.6957391619416,77.1238090161458,44,43,87,,,
86,1354027,Keshavpuram,SHAKUR PUR E-BLOCK (CO-ED)-1354027,BHAVNA SADANA,9958646469,General,Primary,Co-ed,,28.6851270156572,77.145859805212,76,77,153,,yes,Shakarpur
87,1757102,Najafgarh,NAJAFGRAH NEW ROSHAN PURA (GIRLS)-1757102,SAROJ BALA,9650049941,Morning,Primary,Girls,,28.5995311513982,76.9895421338734,0,110,110,,,
88,1757211,Najafgarh,DWARIKA SEC 7 (CO-ED)-1757211,AMBICA,8527705556,General,Primary,Co-ed,,28.5833058090003,77.0765802314959,72,50,122,,,
89,1757167,Najafgarh,SAGARPUR NEW (CO-ED)-1757167,SUSHEELA DEVI,9911152772,General,Primary,Co-ed,,28.6029231341694,77.103611962396,65,67,132,,,
90,1757203,Najafgarh,MATIALA (GIRLS)-1757203,SUSHMA BHARDWAJ,9911243637,Morning,Primary,Girls,,28.6126865278665,77.0473939129573,0,140,140,Matiala(Girls),yes,
91,1757197,Najafgarh,AMBERHI (CO-ED)-1757197,URMIL SEHRAWAT,9999020601,General,Primary,Co-ed,,28.5765354632642,77.0485822383243,56,61,117,,,
92,1757114,Najafgarh,NANGLI SAKRAWATINAJAFGARH (GIRLS)-1757114,SARITA,8700397111,Morning,Primary,Girls,,28.62314502588,77.0162269821987,0,145,145,,,
93,1757427,Najafgarh,DWARKA SEC 4 (CO-ED)-1757427,VED KAUR DABAS,9971004448,General,Primary,Co-ed,,28.6044010922984,77.0492802044532,76,75,151,,,
94,1757169,Najafgarh,SAGARPUR WEST (GIRLS)-1757169,USHA CHAUDHARY,9899644688,Morning,Primary,Girls,,28.6049566968802,77.0964751681211,0,135,135,,,
95,1757222,Najafgarh,MADHU VIHAR (GIRLS)-1757222,SARITA RAI,9810010381,Morning,Primary,Girls,,28.6087619214378,77.0522433475149,0,200,200,,,
96,1757238,Najafgarh,SAMALKA (GIRLS)-1757238,SEEMA,9810635986,General,Primary,Girls,,28.5353893765684,77.0868732745469,0,171,171,Samalka(Girls),yes,
97,1757205,Najafgarh,KAKROLA NO. 2 (CO-ED)-1757205,SUSHMA BHATT,9654049507,General,Primary,Co-ed,,28.6122650577244,77.0474220182135,91,92,183,,,
98,1757213,Najafgarh,DWARKA SEC 3 PHASE III (CO-ED)-1757213,ANJANA GUPTA,9810591167,General,Primary,Co-ed,,28.6067801750908,77.0431111033981,80,116,196,,,
99,1757198,Najafgarh,PALAM VILL. (CO-ED)-1757198,PRAVEEN KUMAR TYAGI,9953662406,General,Primary,Co-ed,,28.5885784949059,77.0817870243703,96,108,204,Palam Village(Coed),yes,
100,1757235,Najafgarh,BIJWASAN (GIRLS)-1757235,MEENAKSHI SINGH,9013580641,General,Primary,Girls,,28.5368362072774,77.05223881056,0,225,225,,,
101,1757221,Najafgarh,DWARKA SEC. 1/(BOYS)-1757221,SHEO PRASAD,7982411707,Evening,Primary,Boys,,28.5990157024568,77.0849652788983,106,0,106,,,
102,1757220,Najafgarh,DWARKA SEC. 1/I (GIRLS)-1757220,RAJ BALA SHARMA,9811868764,Morning,Primary,Girls,,28.5990655470241,77.0851393907946,0,85,85,,,
103,1757195,Najafgarh,POCHANPUR (BOYS)-1757195,SAVITA SHARMA,9868967304,General,Primary,Boys,,28.5602637682389,77.0446249216936,114,0,114,,,
104,1757123,Najafgarh,NAJAFGARH NO 1 (BOYS)-1757123,YASHPAL SINGH,9312255770,Evening,Primary,Boys,,28.6118012364028,76.9868891164435,118,0,118,,,
105,1757196,Najafgarh,POCHANPUR (GIRLS)-1757196,SAVITA ROHILLA,9818672827,General,Primary,Girls,,28.5606167763984,77.0488960611329,0,106,106,Pochanpur(Girls),yes,
106,1757232,Najafgarh,KAPAS HERA NO 2 (GIRLS)-1757232,REENA SHARMA,9818224613,Morning,Primary,Girls,,28.5265820422896,77.0810966276485,0,107,107,,,
107,1757122,Najafgarh,NAJAFGARH NO 1 (GIRLS)-1757122,JITENDRA KUMAR,7827230272,Morning,Primary,Girls,,28.6119069516309,76.986941429999,0,156,156,,,
108,1757208,Najafgarh,KAKROLA NO 1 (BOYS)-1757208,SUNIL GAHLOT,9313322605,Evening,Primary,Boys,,28.613929868086,77.0236854883858,212,0,212,,,
109,1757216,Najafgarh,RAJ NAGAR (CO-ED)-1757216,ASHA RANI,8860271477,General,Primary,Co-ed,,28.5853350420752,77.083830579347,94,78,172,,,
110,1757419,Najafgarh,KAPAS HERA NO 1 (BOYS)-1757419,VEENA YADAV,8851406253,Evening,Primary,Boys,,28.5248224746812,77.0807913698123,356,0,356,,,
111,1757160,Najafgarh,MAHAVIR ENCLAVE (CO-ED)-1757160,ALKA SHARMA,9811353824,General,Primary,Co-ed,,28.6015220232484,77.0812927076967,134,137,271,Mahavir Enclave(Coed),yes,
112,1757231,Najafgarh,KAPAS HERA NO 1 (GIRLS)-1757231,RITU ARORA,9599239052,Morning,Primary,Girls,,28.5248224746812,77.0807913698123,0,408,408,,,
113,1757424,Najafgarh,KAPAS HERA NO 3 (GIRLS)-1757424,REKHA SHARMA,9650025279,Morning,Primary,Girls,,28.5274095954389,77.0842336850398,0,69,69,Kapas Hera No 3(Girls),yes,
114,1757425,Najafgarh,KAPAS HERA NO 3 (BOYS)-1757425,NARINDER KAUR,9990995497,Evening,Primary,Boys,,28.5275621193582,77.0842504471261,79,0,79,,,
115,1757192,Najafgarh,GHUMANHERA (GIRLS)-1757192,SANGEETA SHARMA,9873572060,General,Primary,Girls,,28.5322841799964,76.9166775714487,15,12,27,,,
116,1757209,Najafgarh,REWLA KHANPUR (CO-ED)-1757209,BIJENDER KUMAR,9868915369,General,Primary,Co-ed,,28.5714513339659,76.9819494330124,28,22,50,,,
117,1757119,Najafgarh,NAJAFGARH KHAIRA NO 1 (CO-ED)-1757119,SUNITA M SHARMA,7838072087,General,Primary,Co-ed,,28.598951458313,76.9679758433549,27,29,56,Khaira No1(Coed),yes,
118,1757175,Najafgarh,PALAM ENCLAVE (CO-ED)-1757175,KUSUM KUMARI,9868237816,General,Primary,Co-ed,,28.5876511584034,77.0886666971018,45,33,78,Palam Enclave(Coed),yes,
119,1757154,Najafgarh,VASHIST PARK (CO-ED)-1757154,SHANKAR LAL,8851188729,General,Primary,Co-ed,,28.6076144930637,77.1038857960395,40,39,79,,,
120,1757180,Najafgarh,TAJPUR KHURD (CO-ED)-1757180,NEELAM GUPTA,9873384387,General,Primary,Co-ed,,28.5745116472077,77.01418590233,43,31,74,,,
121,1757246,Najafgarh,BAGDOLA (CO-ED)-1757246,MUKESH KUMAR SINGH,9911011301,General,Primary,Co-ed,,28.5713735125448,77.0696034562598,37,36,73,Bagdola(Co-ed),yes,
122,1757214,Najafgarh,DWARKA SEC 3 PHASE I (CO-ED)-1757214,SANJIT KUMAR,9968456829,General,Primary,Co-ed,,28.6122519542525,77.0474217639996,45,38,83,,,
123,1757165,Najafgarh,SAGARPUR OLD (CO-ED)-1757165,ANJU JAIN,9211525875,General,Primary,Girls,,28.6023432566149,77.1044595896119,52,55,107,,,
124,1757215,Najafgarh,NASIRPUR POCKET 6 (CO-ED)-1757215,RAJMATI,9999606675,General,Primary,Co-ed,,28.5975172571512,77.0753778748959,77,68,145,,,
125,1757164,Najafgarh,MAHAVIR ENCLAVE D-BLOCK (CO-ED)-1757164,KAVITA SHARMA,9810608233,General,Primary,Co-ed,,28.5976233338844,77.0754665226323,66,64,130,,,
126,1757118,Najafgarh,NAJAFGARH KHAIRA NO 2 (CO-ED)-1757118,REKHA SHARMA,9990633100,General,Primary,Co-ed,,28.5990149025537,76.9680460089823,80,57,137,,,
127,1757234,Najafgarh,BIJWASAN (BOYS)-1757234,KAILASH SINGH,9891311406,General,Primary,Boys,,28.5331684180222,77.0599108056181,130,0,130,,,
128,1757120,Najafgarh,NAJAFGARH OLD ROSHAN PURA (GIRLS)-1757120,VIRENDER KUMAR BHARTI,7840049596,Morning,Primary,Girls,,28.6544181495358,77.231626298488,0,101,101,,,
129,1757156,Najafgarh,DABRI (CO-ED)-1757156,SAROJ CATHERINA,9968274352,General,Primary,Co-ed,,28.6119851652067,77.087104866175,100,79,179,,,
130,1757212,Najafgarh,KUTUB VIHAR (GIRLS)-1757212,RAJESH,8742966933,General,Primary,Girls,,28.5748114270724,77.0278163072883,0,185,185,,,
131,1757469,Najafgarh,KUTUB VIHAR (BOYS)-1757469,SHASHI GUPTA,8799733811,General,Primary,Boys,,28.5748493867296,77.0279865829232,184,0,184,,,
132,1757207,Najafgarh,KAKROLA NO 1 (GIRLS)-1757207,SUREKHA KAUL,9910111877,Morning,Primary,Girls,,28.613927451635,77.02370343415,0,234,234,Kakrola No 1(Girls),yes,
133,1757173,Najafgarh,NASIRPUR VILLAGE (CO-ED)-1757173,SUNITA GOEL,9013246720,General,Primary,Co-ed,0.0,28.6001307814563,77.0915124991662,114,109,223,,,
134,1152127,Shahdara North,BRAHAMPURI OD II-1152127,TILAK RAJ,9868102810,Evening,Primary,Boys,,28.6826536947707,77.2614300913104,31,0,31,,,
135,1051182,Shahdara North,JHILMIL CIRCULAR ROAD(CO-ED)-1051182,MANJU BATRA,9871074058,General,Primary,Co-ed,,28.6714085274633,77.2968536338243,32,38,70,,yes,Shahdara
136,1152034,Shahdara North,MANDOLI BALIKA (GIRLS)-1152034,SHASHI PRABHA SHARMA,8285520353,Morning,Primary,Girls,,28.7019274817348,77.307171916562,0,108,108,,,
137,1152088,Shahdara North,BABARPUR (BOYS)-1152088,SUDHA AGGARWAL,9643407234,Evening,Primary,Boys,,28.6874725899949,77.2778510610255,49,0,49,,,
138,1152140,Shahdara North,BHAJANPURA (BOYS)-1152140,RAJIV RANJAN KUMAR ,9868411084,Evening,Primary,Boys,,28.6996816636044,77.2627597010817,61,0,61,,,
139,1152087,Shahdara North,BABARPUR (GIRLS)-1152087,USHA KUMARI,9911103080,Morning,Primary,Girls,,28.6874098993701,77.2778172172211,0,54,54,,,
140,1152107,Shahdara North,AWASIYA PARISAR SEELAMPUR-(GIRLS)-1152107,SAJLESH,9910370815,General,Primary,Co-ed,,28.6786908109528,77.2580113705939,0,66,66,,,
141,1152061,Shahdara North,SUNDER NAGRI F1 (BOYS)-1152061,Dev Kant Barua,9654980667,Evening,Primary,Boys,,28.695692590939,77.3156147174837,62,0,62,,,
142,1152078,Shahdara North,SEELAMPUR PHASE-III URDU (BOYS)-1152078,ASHIQUE ABBAS ,9717084351,Evening,Primary,Boys,,28.6744736770975,77.2724036386804,96,0,96,,yes,Welcome
143,1152677,Shahdara North,AWASIYA PARISAR SEELAMPUR-(BOYS)-1152677,MD SAJID QUAMAR,9643776606,Evening,Primary,Boys,9643776606.0,28.6786908109528,77.2580113705939,81,0,81,,,
144,1152004,Shahdara North,DILSHAD GARDEN O-BLOCK (BOYS)-1152004,VIRENDER SINGH,7982593406,Evening,Primary,Boys,,28.6874008831991,77.3223141151989,92,0,92,,,
145,1152151,Shahdara North,MOHANPURI (BOYS)-1152151,MUNI PAL SINGH,8630924870,Evening,Primary,Boys,,28.6954108792912,77.2728139109597,127,0,127,,,
146,1152166,Shahdara North,ANKUR ENCLAVE -II(BOYS)-1152166,SURENDER KUMAR,9654053029,Evening,Primary,Boys,,28.7295780413319,77.2718635346096,109,0,109,,,
147,1152065,Shahdara North,DILSHAD COLONY (BOYS)-1152065,DILIP KUMAR,8920882848,Evening,Primary,Boys,,28.6834928258988,77.3292515105652,106,0,106,,,
148,1152139,Shahdara North,BHAJANPURA (GIRLS)-1152139,SUMAN LATA,9654249906,Morning,Primary,Girls,,28.6996816636044,77.2627597010817,0,86,86,,yes,Bhajanpura
